id,created_at,text
888775159599038464,2017-07-22 14:58:05,@Sushmita_A 😩😩 https://t.co/3sFdeXuENi
888151149257252865,2017-07-20 21:38:29,The kids will be alright! https://t.co/5q7e8J6FSL
